City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,293.32,79,40,5.66,US,1719836502
1,makurazaki,31.2667,130.3167,298.34,92,100,3.65,JP,1719836503
2,iqaluit,63.7506,-68.5145,281.0,66,75,6.69,CA,1719836407
3,san luis de la loma,17.2706,-100.8939,298.59,90,100,2.41,MX,1719836506
4,bredasdorp,-34.5322,20.0403,291.58,58,0,2.58,ZA,1719836509
5,nemuro,43.3236,145.575,286.16,85,54,9.84,JP,1719836510
6,nuuk,64.1835,-51.7216,280.49,81,75,1.03,GL,1719836512
7,margaret river,-33.95,115.0667,290.53,68,87,9.38,AU,1719836515
8,sao vicente,-23.9631,-46.3919,291.25,53,75,0.0,BR,1719836517
9,blackmans bay,-43.0167,147.3167,276.22,90,12,0.45,AU,1719836518
10,el alto,-4.2714,-81.2147,289.96,80,12,5.72,PE,1719836520
11,badger,64.8,-147.5333,290.1,82,100,0.0,US,1719836521
12,st. john's,47.5649,-52.7093,290.81,98,100,13.89,CA,1719836523
13,sisimiut,66.9395,-53.6735,277.28,95,100,1.95,GL,1719836525
14,mawlaik,23.6333,94.4167,298.33,98,100,0.62,MM,1719836526
15,ilulissat,69.2167,-51.1,278.16,87,40,5.14,GL,1719836528
16,papatowai,-46.5619,169.4708,279.83,89,100,8.71,NZ,1719836530
17,albany,42.6001,-73.9662,290.31,91,89,0.89,US,1719836531
18,tura,25.5198,90.2201,297.01,99,100,2.79,IN,1719836533
19,thompson,55.7435,-97.8558,288.24,67,75,1.03,CA,1719836535
20,ushuaia,-54.8,-68.3,270.96,93,0,1.03,AR,1719836536
21,edinburgh of the seven seas,-37.0676,-12.3116,287.51,78,3,12.15,SH,1719836538
22,adamstown,-25.066,-130.1015,292.21,56,26,9.93,PN,1719836539
23,namibe,-15.1961,12.1522,297.74,52,0,6.65,AO,1719836541
24,grytviken,-54.2811,-36.5092,266.44,73,42,3.58,GS,1719836543
25,santa terezinha,-29.9002,-50.0904,282.43,53,1,1.39,BR,1719836544
26,pyhajarvi,67.0701,27.2176,286.44,75,100,1.34,FI,1719836546
27,northam,51.0333,-4.2167,289.48,81,100,5.24,GB,1719836547
28,fisterra,42.9049,-9.2629,300.54,77,0,8.23,ES,1719836549
29,puerto natales,-51.7236,-72.4875,273.4,80,75,1.54,CL,1719836550
30,lerwick,60.1545,-1.1494,284.15,96,93,6.76,GB,1719836552
31,port elizabeth,-33.918,25.5701,293.2,96,20,5.14,ZA,1719836553
32,kingston,17.997,-76.7936,302.68,66,14,4.12,JM,1719836555
33,west island,-12.1568,96.8225,300.14,74,100,8.75,CC,1719836557
34,mugia,43.1041,-9.2179,297.68,79,0,7.32,ES,1719836558
35,kiunga,-6.1219,141.2906,296.59,99,67,1.09,PG,1719836560
36,brookings,44.3114,-96.7984,290.43,81,100,6.69,US,1719836561
37,petropavlovsk-kamchatsky,53.0452,158.6483,281.48,100,100,2.0,RU,1719836563
38,lorengau,-2.0226,147.2712,300.93,80,99,3.92,PG,1719836564
39,talnakh,69.4865,88.3972,286.66,44,87,1.86,RU,1719836566
40,khujand,40.2853,69.6279,304.75,22,20,7.0,TJ,1719836567
41,morondava,-20.2833,44.2833,299.17,46,27,5.69,MG,1719836569
42,port-aux-francais,-49.35,70.2167,275.09,73,67,15.51,TF,1719836570
43,al qitena,14.8648,32.3668,311.67,25,24,8.89,SD,1719836572
44,gadzhiyevo,69.2551,33.3362,284.3,84,86,4.3,RU,1719836573
45,udachny,66.4167,112.4,288.41,67,97,2.53,RU,1719836575
46,waitangi,-43.9535,-176.5597,285.83,92,100,3.58,NZ,1719836576
47,georgetown,5.4112,100.3354,303.12,64,20,2.06,MY,1719836342
48,khandyga,62.6667,135.6,290.23,82,100,2.7,RU,1719836579
49,ust-nera,64.5667,143.2,289.51,53,88,1.99,RU,1719836581
50,san vicente,-26.6167,-54.1333,281.26,53,0,0.95,AR,1719836582
51,kodiak,57.79,-152.4072,281.88,93,100,3.6,US,1719836584
52,vorgashor,67.5833,63.95,285.19,42,12,3.67,RU,1719836586
53,nar'yan-mar,67.6713,53.087,287.81,39,100,0.18,RU,1719836587
54,ketchikan,55.3422,-131.6461,285.41,94,100,3.09,US,1719836589
55,maragogi,-9.0122,-35.2225,299.68,69,7,4.24,BR,1719836592
56,tiksi,71.6872,128.8694,277.58,80,90,1.49,RU,1719836594
57,bure,10.7,37.0667,291.73,82,83,1.97,ET,1719836597
58,ibusuki,31.2333,130.65,299.46,93,100,3.95,JP,1719836474
59,plumas lake,39.0207,-121.558,294.71,79,0,0.45,US,1719836607
60,bernardo de irigoyen,-26.2552,-53.6458,282.23,52,0,0.98,AR,1719836610
61,yellowknife,62.456,-114.3525,289.44,72,75,2.06,CA,1719836614
62,touros,-5.1989,-35.4608,300.47,71,8,6.86,BR,1719836616
63,mount isa,-20.7333,139.5,285.02,66,11,7.72,AU,1719836618
64,puerto ayora,-0.7393,-90.3518,293.46,100,56,2.51,EC,1719836620
65,happy valley-goose bay,53.3168,-60.3315,289.32,59,20,6.17,CA,1719836621
66,susuman,62.7833,148.1667,283.78,79,65,3.36,RU,1719836623
67,fale old settlement,-9.3852,-171.2468,301.43,76,100,6.82,TK,1719836624
68,inirida,3.8653,-67.9239,297.15,95,57,0.11,CO,1719836626
69,mejit,10.2753,170.8646,300.76,84,90,7.74,MH,1719836627
70,veraval,20.9,70.3667,301.28,89,100,10.76,IN,1719836629
71,hithadhoo,-0.6,73.0833,301.99,76,62,2.8,MV,1719836631
72,bilibino,68.0546,166.4372,284.61,90,100,1.86,RU,1719836632
73,salinopolis,-0.6136,-47.3561,300.88,82,70,4.17,BR,1719836634
74,karratha,-20.7377,116.8463,295.28,45,0,2.08,AU,1719836635
75,medyn',54.9692,35.8586,300.43,58,32,3.1,RU,1719836637
76,klyuchi,52.2667,79.1667,294.24,68,67,4.95,RU,1719836638
77,greymouth,-42.4667,171.2,282.35,89,68,0.95,NZ,1719836408
78,bowen,-20.0167,148.2333,293.38,86,9,3.77,AU,1719836641
79,keflavik,64.0049,-22.5624,285.1,62,75,9.26,IS,1719836643
80,kotido,2.9806,34.1331,301.41,38,66,1.63,UG,1719836645
81,longyearbyen,78.2186,15.6401,280.06,76,75,6.17,SJ,1719836646
82,vadso,70.0744,29.7487,287.64,82,0,4.12,NO,1719836648
83,kapuskasing,49.4169,-82.4331,290.2,67,20,2.57,CA,1719836649
84,la passe,45.5549,-0.8967,294.27,69,71,5.86,FR,1719836651
85,vila franca do campo,37.7167,-25.4333,294.38,62,8,3.78,PT,1719836652
86,manokwari,-0.8667,134.0833,299.55,77,95,0.88,ID,1719836280
87,antsiranana,-12.2787,49.2917,303.57,45,20,3.09,MG,1719836655
88,bodaybo,57.8506,114.1933,300.49,63,1,1.78,RU,1719836657
89,bhamo,24.2667,97.2333,297.66,99,100,0.99,MM,1719836658
90,misratah,32.3754,15.0925,304.76,47,0,5.42,LY,1719836660
91,asaita,11.5636,41.4394,314.0,17,63,2.5,ET,1719836662
92,melong,5.1218,9.9614,298.36,85,99,1.05,CM,1719836663
93,dakhla,23.6848,-15.958,295.16,68,40,15.43,EH,1719836665
94,nyurba,63.2842,118.3319,295.01,78,43,7.6,RU,1719836666
95,revda,56.801,59.9303,295.06,70,81,2.98,RU,1719836668
96,invercargill,-46.4,168.35,279.27,96,100,6.71,NZ,1719836669
97,gebeit,21.0667,36.3167,313.59,8,5,5.68,SD,1719836671
98,hermanus,-34.4187,19.2345,288.04,80,1,3.37,ZA,1719836672
99,bangjun,39.9911,117.2628,299.06,42,100,2.54,CN,1719836674
100,qaqortoq,60.7167,-46.0333,278.77,64,25,1.61,GL,1719836675
101,atafu village,-8.5421,-172.5159,301.68,75,100,5.54,TK,1719836677
102,anadyr,64.75,177.4833,282.43,70,0,8.94,RU,1719836678
103,diplo,24.4667,69.584,304.61,69,90,7.93,PK,1719836680
104,mossel bay,-34.1831,22.146,290.11,72,0,3.24,ZA,1719836683
105,flying fish cove,-10.4217,105.6791,296.97,94,100,6.69,CX,1719836684
106,sao joao da barra,-21.6403,-41.0511,292.2,82,100,3.73,BR,1719836686
107,sitka,57.0531,-135.33,286.09,82,100,1.54,US,1719836688
108,wailua homesteads,22.0669,-159.378,297.39,83,40,5.66,US,1719836689
109,pisco,-13.7,-76.2167,289.18,94,100,2.57,PE,1719836691
110,santiago de cao,-7.9589,-79.2392,290.22,88,100,3.6,PE,1719836692
111,new norfolk,-42.7826,147.0587,276.88,95,14,1.25,AU,1719836694
112,uturoa,-16.7333,-151.4333,299.52,80,79,9.0,PF,1719836696
113,necochea,-38.5473,-58.7368,280.09,79,74,3.76,AR,1719836697
114,jamiltepec,16.2833,-97.8167,294.86,96,100,0.43,MX,1719836699
115,dudinka,69.4058,86.1778,284.65,55,98,2.85,RU,1719836702
116,newman,37.3138,-121.0208,294.28,54,0,1.94,US,1719836704
117,whitehorse,60.7161,-135.0538,283.6,66,20,1.54,CA,1719836706
118,puerto asis,0.5133,-76.5007,294.31,99,44,0.24,CO,1719836708
119,remire-montjoly,4.9167,-52.2667,300.17,94,75,1.54,GF,1719836709
120,saipan,15.1355,145.701,301.54,83,20,4.63,MP,1719836711
121,achinsk,56.2694,90.4993,294.79,76,100,1.64,RU,1719836713
122,adrar,20.5022,-10.0711,313.28,11,67,4.18,MR,1719836714
123,la ronge,55.1001,-105.2842,288.29,77,75,1.03,CA,1719836716
124,la sarre,48.8002,-79.1996,286.89,77,2,2.8,CA,1719836717
125,adel,31.1371,-83.4235,299.23,99,37,1.21,US,1719836719
126,mata-utu,-13.2816,-176.1745,301.17,76,100,8.97,WF,1719836720
127,alesund,62.4723,6.1549,287.78,75,75,9.77,NO,1719836635
128,port mathurin,-19.6833,63.4167,296.25,75,4,8.3,MU,1719836723
129,madisonville,37.3281,-87.4989,291.07,79,27,1.34,US,1719836727
130,sos'va,59.1766,61.8558,294.68,76,70,5.17,RU,1719836728
131,moyynkum,44.2914,72.9469,303.5,16,54,11.42,KZ,1719836730
132,monticello,45.3055,-93.7941,289.79,78,5,4.17,US,1719836732
133,luganville,-15.5333,167.1667,298.46,86,68,4.84,VU,1719836734
134,papao,-17.75,-149.55,296.97,83,29,11.43,PF,1719836735
135,sal rei,16.1833,-22.9167,299.26,73,75,8.23,CV,1719836737
136,anloga,5.7947,0.8973,300.34,77,88,4.95,GH,1719836740
137,stanley,54.868,-1.6985,287.33,85,75,7.2,GB,1719836741
138,utrik,11.2278,169.8474,300.56,84,90,8.0,MH,1719836742
139,rouyn-noranda,48.2398,-79.0288,288.2,77,20,2.57,CA,1719836744
140,karatuzskoye,53.6072,92.8667,295.86,88,45,2.4,RU,1719836746
141,pemangkat,1.1667,108.9667,299.19,85,91,3.65,ID,1719836747
142,antonio enes,-16.2325,39.9086,299.79,59,4,4.72,MZ,1719836749
143,wuwei,37.9281,102.6414,297.29,29,4,2.33,CN,1719836494
144,coquimbo,-29.9533,-71.3436,285.36,86,0,1.03,CL,1719836752
145,wanning,18.8003,110.3967,301.67,87,97,4.75,CN,1719836754
146,vanimo,-2.6741,141.3028,299.24,88,99,2.58,PG,1719836755
147,tual,-5.6667,132.75,299.14,88,100,5.98,ID,1719836757
148,college,64.8569,-147.8028,290.14,81,100,0.0,US,1719836758
149,praia da vitoria,38.7333,-27.0667,296.29,68,20,4.46,PT,1719836760
150,yaren,-0.5472,166.916,301.77,76,16,6.46,NR,1719836761
151,fort mcmurray,56.7268,-111.381,287.92,72,0,2.57,CA,1719836763
152,yuzhno-kurilsk,44.0306,145.8556,284.82,86,64,10.34,RU,1719836764
153,kuraymah,18.55,31.85,315.86,7,2,2.51,SD,1719836766
154,katsuura,35.1333,140.3,298.16,93,100,11.57,JP,1719836711
155,zhaozhou,45.6833,125.3167,293.48,51,2,2.68,CN,1719836771
156,prado,-17.3411,-39.2208,297.66,73,95,1.43,BR,1719836773
157,kosh-agach,50.0,88.6667,294.73,40,92,5.29,RU,1719836774
158,alpena,45.0617,-83.4327,288.21,77,0,1.79,US,1719836777
159,hawaiian paradise park,19.5933,-154.9731,294.88,98,100,2.57,US,1719836780
160,aswan,24.0934,32.907,314.71,12,30,7.08,EG,1719836782
161,newnham,-41.3833,147.1333,274.63,93,3,1.54,AU,1719836783
162,ceylanpinar,36.8472,40.05,311.24,15,1,4.79,TR,1719836785
163,arkhangel'sk,64.5401,40.5433,292.21,59,75,3.0,RU,1719836788
164,shalkar,47.8288,59.6258,297.47,33,85,8.99,KZ,1719836790
165,minas de marcona,-15.2119,-75.1103,284.99,85,39,3.98,PE,1719836792
166,olonkinbyen,70.9221,-8.7187,277.76,94,35,3.0,SJ,1719836793
167,lucapa,-8.4192,20.7447,306.15,17,22,2.46,AO,1719836795
168,haiku-pauwela,20.9219,-156.3051,295.51,74,11,1.79,US,1719836796
169,pelabuhanratu,-6.9875,106.5514,298.65,89,67,1.03,ID,1719836798
170,asentamiento humano nicolas de pierola,-11.95,-76.7,282.11,63,20,0.47,PE,1719836799
171,queenstown,-31.8976,26.8753,294.93,23,33,5.92,ZA,1719836801
172,codrington,-38.2667,141.9667,282.68,73,97,3.66,AU,1719836802
173,salym,60.0625,71.4789,286.97,97,97,3.57,RU,1719836804
174,dabai,11.4765,5.2063,305.7,46,49,3.33,NG,1719836805
175,viedma,-40.8135,-62.9967,278.36,66,54,4.28,AR,1719836807
176,hasaki,35.7333,140.8333,299.37,90,100,7.06,JP,1719836808
177,vernon,50.2581,-119.2691,289.6,93,63,0.51,CA,1719836810
178,kavaratti,10.5669,72.642,300.89,86,100,6.62,IN,1719836811
179,felahiye,39.0906,35.5672,299.56,50,95,2.86,TR,1719836812
180,roma,43.2128,-75.4557,289.47,87,75,3.09,US,1719836814
181,howrah,22.5892,88.3103,304.15,84,75,3.6,IN,1719836561
182,tolanaro,-25.0319,46.9987,297.19,73,20,4.12,MG,1719836817
183,katima mulilo,-17.5,24.2667,301.99,18,0,1.94,NA,1719836819
184,alice springs,-23.7,133.8833,281.9,93,75,3.09,AU,1719836607
185,salug,8.1147,122.7833,299.34,86,100,1.38,PH,1719836822
186,birobidzhan,48.8,132.95,292.72,45,58,4.6,RU,1719836824
187,tongliao,43.6125,122.2653,295.51,38,92,3.38,CN,1719836825
188,zemio,5.0314,25.1361,305.77,43,24,1.39,CF,1719836827
189,la punta,-33.1837,-66.3127,280.02,35,4,1.66,AR,1719836828
190,puerto deseado,-47.7503,-65.8938,276.72,62,0,13.38,AR,1719836829
191,nevada,39.2502,-116.7512,285.97,39,22,1.67,US,1719836831
192,jamestown,42.097,-79.2353,289.01,94,0,5.14,US,1719836832
193,christchurch,-43.5333,172.6333,280.88,82,99,5.14,NZ,1719836834
194,vershino-darasunskiy,52.35,115.5167,296.5,47,29,1.8,RU,1719836835
195,sukuta,13.4103,-16.7082,306.16,62,75,2.57,GM,1719836837
196,soroti,1.7146,33.6111,301.96,38,78,1.38,UG,1719836838
197,aasiaat,68.7098,-52.8699,275.24,93,100,2.19,GL,1719836840
198,ishigaki,24.3448,124.1572,302.22,89,100,3.09,JP,1719836841
199,flin flon,54.7682,-101.865,288.06,82,100,1.03,CA,1719836843
200,nueva gerona,21.8833,-82.8,300.79,80,52,3.94,CU,1719836844
201,urucara,-2.5364,-57.76,298.93,84,3,1.5,BR,1719836846
202,fiambala,-27.6871,-67.6149,284.72,10,0,0.75,AR,1719836847
203,nova sintra,14.8667,-24.7167,293.64,81,27,7.47,CV,1719836849
204,smithers,54.7804,-127.1743,284.33,76,100,1.03,CA,1719836850
205,lihue,21.9789,-159.3672,297.73,77,40,5.66,US,1719836852
206,hamilton,39.1834,-84.5333,290.64,77,0,6.17,US,1719836853
207,sidi okba,34.7451,5.8983,316.31,12,40,7.72,DZ,1719836590
208,cidade velha,14.9167,-23.6167,302.41,51,20,5.66,CV,1719836856
209,bel ombre,-4.6167,55.4167,302.06,79,40,5.14,SC,1719836857
210,kedrovka,55.5333,86.05,292.64,87,100,1.65,RU,1719836859
211,aioun,16.6614,-9.6149,309.25,36,41,5.09,MR,1719836860
212,rongelap,11.1635,166.8941,301.44,71,96,8.81,MH,1719836862
213,bangkalan,-7.0455,112.7351,301.12,75,73,1.65,ID,1719836863
214,tchollire,8.4022,14.1698,297.83,83,100,3.59,CM,1719836865
215,winters,38.5249,-121.9708,292.04,78,0,0.0,US,1719836866
216,punta arenas,-53.15,-70.9167,274.21,93,75,12.35,CL,1719836868
217,soe,-9.8607,124.284,291.81,92,78,2.12,ID,1719836869
218,kismayo,-0.3582,42.5454,301.21,68,87,8.74,SO,1719836871
219,ribeira grande,38.5167,-28.7,298.37,53,20,7.72,PT,1719836872
220,lauro de freitas,-12.8944,-38.3272,298.16,83,75,2.06,BR,1719836874
221,hotan,37.0997,79.9269,307.64,15,4,3.32,CN,1719836876
222,bengkulu,-3.8004,102.2655,299.23,83,52,0.65,ID,1719836100
223,gandajika,-6.75,23.95,307.08,18,17,2.18,CD,1719836879
224,beyneu,45.3167,55.2,300.8,21,0,6.67,KZ,1719836881
225,linqiong,30.4159,103.4609,304.05,69,2,1.22,CN,1719836643
226,iquique,-20.2208,-70.1431,288.17,69,33,0.96,CL,1719836884
227,kolonia town,6.964,158.206,300.15,89,100,2.06,FM,1719836885
228,ghanzi,-21.5667,21.7833,298.44,20,0,4.77,BW,1719836887
229,santana,-0.0583,-51.1817,303.25,84,40,1.03,BR,1719836808
230,cabo san lucas,22.8909,-109.9124,300.76,74,17,4.47,MX,1719836890
231,yakeshi,49.2833,120.7333,294.72,44,22,2.61,CN,1719836892
232,labrador city,52.9463,-66.9114,287.1,67,40,4.63,CA,1719836893
233,afaahiti,-17.75,-149.2833,296.08,86,76,10.85,PF,1719836894
234,hakui,36.8833,136.7833,296.62,91,61,0.9,JP,1719836896
235,karasuk,53.7377,78.0403,295.6,68,87,6.58,RU,1719836897
236,labytnangi,66.6572,66.4183,287.34,40,10,4.52,RU,1719836899
237,puerto san jose,13.9256,-90.8244,297.18,94,100,0.0,GT,1719836901
238,jining,35.405,116.5814,295.72,95,100,5.57,CN,1719836799
239,guiratinga,-16.3494,-53.7583,294.16,60,8,1.19,BR,1719836904
240,tofol,5.3248,163.0078,301.54,75,59,5.38,FM,1719836906
241,oyo,7.85,3.9333,303.68,56,80,2.77,NG,1719836907
242,arraial do cabo,-22.9661,-42.0278,294.07,78,75,1.03,BR,1719836909
243,san jose de mayo,-34.3375,-56.7136,280.49,66,85,4.3,UY,1719836910
244,polewali,-3.4324,119.3435,299.14,90,100,2.06,ID,1719836912
245,garagoa,5.0824,-73.3633,289.14,89,59,0.75,CO,1719836914
246,eldorado,-23.7869,-54.2836,285.84,40,0,1.26,BR,1719836915
247,guozhen,34.3659,107.359,298.33,54,61,4.01,CN,1719836916
248,hujra shah muqim,30.7418,73.8236,318.92,20,26,1.08,PK,1719836918
249,suizhou,31.7111,113.3631,294.85,96,100,5.13,CN,1719836919
250,tinajo,29.0788,-13.7081,298.64,53,40,7.72,ES,1719836921
251,luorong,24.4058,109.6086,300.99,87,100,4.13,CN,1719836922
252,nantucket,41.2835,-70.0995,295.23,86,0,7.2,US,1719836924
253,nuevitas,21.5453,-77.2644,299.87,88,100,3.51,CU,1719836926
254,crest,44.7284,5.0272,298.93,45,64,7.46,FR,1719836885
255,lomza,53.1781,22.0593,296.11,66,96,4.62,PL,1719836704
256,iskateley,67.6803,53.1512,287.75,39,100,0.26,RU,1719836931
257,husan,31.7093,35.1347,299.82,39,0,7.77,PS,1719836932
258,luanda,-8.8368,13.2343,298.15,73,75,2.06,AO,1719836748
259,champerico,14.3,-91.9167,298.45,88,98,1.49,GT,1719836935
260,prince rupert,54.3161,-130.3201,284.2,95,100,5.66,CA,1719836937
261,khovd,48.0056,91.6419,301.32,23,100,7.06,MN,1719836938
262,east london,-33.0153,27.9116,296.67,73,20,5.66,ZA,1719836940
263,muna,20.4833,-89.7167,296.74,97,52,1.25,MX,1719836941
264,krasnovishersk,60.4078,57.082,294.65,62,97,2.59,RU,1719836944
265,sinabang,2.4803,96.3801,301.33,74,35,1.67,ID,1719836945
266,zouerate,22.7187,-12.4521,312.72,10,0,8.62,MR,1719836947
267,luwuk,-0.9516,122.7875,298.15,89,97,1.68,ID,1719836948
268,san felipe,10.3399,-68.7425,297.26,92,82,0.27,VE,1719836950
269,south venice,27.0531,-82.4243,299.85,96,22,0.45,US,1719836951
270,beaufort west,-32.3567,22.583,293.81,34,53,7.75,ZA,1719836953
271,padangsidempuan,1.3667,99.2667,297.32,92,97,0.27,ID,1719836956
272,shohimardon,39.9839,71.8028,300.58,80,100,1.81,UZ,1719836957
273,weno,7.4515,151.8468,299.12,94,100,3.6,FM,1719836959
274,mount gambier,-37.8333,140.7667,282.11,63,94,1.92,AU,1719836960
275,ta`u,-14.2336,-169.5144,300.26,77,80,8.41,AS,1719836962
276,san patricio,28.017,-97.5169,301.96,88,36,2.23,US,1719836963
277,atar,20.5169,-13.0499,313.18,17,4,9.26,MR,1719836965
278,cururupu,-1.8283,-44.8683,301.57,72,62,2.52,BR,1719836966
279,la'ie,21.6477,-157.9253,297.29,79,8,2.24,US,1719836968
280,kattivakkam,13.2167,80.3167,306.2,71,100,7.3,IN,1719836969
281,kupino,54.3663,77.2981,296.66,59,87,5.46,RU,1719836971
282,nadi,-17.8,177.4167,295.15,73,20,4.63,FJ,1719836973
283,nikolayevsk-on-amure,53.1406,140.73,285.88,73,3,0.81,RU,1719836974
284,chernomorskoye,45.5039,32.6997,300.27,57,4,7.47,UA,1719836976
285,licheng,23.2955,113.8284,301.48,74,69,4.58,CN,1719836977
286,sandnessjoen,66.0217,12.6316,288.44,77,75,2.57,NO,1719836979
287,malvan,16.0667,73.4667,301.79,83,100,8.81,IN,1719836707
288,dryden,49.7833,-92.7503,287.31,77,0,4.12,CA,1719836982
289,kiiminki,65.1314,25.7974,289.69,100,100,2.22,FI,1719836983
