City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,6.39,77,72,4.88,CL,1720091050
1,taksimo,56.3444,114.8794,23.68,68,94,1.88,RU,1720091460
2,port mathurin,-19.6833,63.4167,22.28,67,29,9.89,MU,1720090946
3,darzab,35.9774,65.3783,34.19,11,39,4.46,AF,1720091463
4,bodden town,19.2833,-81.25,25.0,96,75,19.55,KY,1720091464
5,north platte,41.1239,-100.7654,15.06,92,75,3.6,US,1720091309
6,port-aux-francais,-49.35,70.2167,1.18,57,34,3.28,TF,1720091190
7,carnarvon,-24.8667,113.6333,19.07,38,0,6.42,AU,1720091469
8,waitangi,-43.9535,-176.5597,9.99,77,100,6.72,NZ,1720091174
9,saudarkrokur,65.7461,-19.6394,7.56,93,99,5.37,IS,1720091474
10,bilibino,68.0546,166.4372,18.15,53,91,1.96,RU,1720091475
11,anadyr,64.75,177.4833,7.28,100,75,10.0,RU,1720091200
12,tiksi,71.6872,128.8694,2.43,92,94,4.04,RU,1720091478
13,pampa,35.5362,-100.9599,23.02,73,0,5.14,US,1720091480
14,solone,48.2081,34.8721,35.38,20,100,5.9,UA,1720091481
15,hawaiian paradise park,19.5933,-154.9731,21.73,95,100,2.57,US,1720091488
16,adamstown,-25.066,-130.1015,20.42,67,100,3.32,PN,1720091491
17,thompson,55.7435,-97.8558,10.65,73,73,2.17,CA,1720091492
18,tsiombe,-25.3,45.4833,26.73,30,15,5.4,MG,1720091494
19,jamestown,42.097,-79.2353,22.79,98,100,2.06,US,1720091495
20,sand springs,36.1398,-96.1089,28.18,75,0,0.0,US,1720091497
21,aasiaat,68.7098,-52.8699,2.86,79,3,4.5,GL,1720090989
22,bethel,41.3712,-73.414,20.83,84,56,0.45,US,1720091295
23,puerto ayora,-0.7393,-90.3518,21.42,97,98,1.88,EC,1720091501
24,udachny,66.4167,112.4,18.12,31,42,4.76,RU,1720091034
25,baymak,52.5933,58.3225,27.72,50,11,1.84,RU,1720091505
26,sokhumi,43.0033,41.0153,31.95,40,40,1.17,GE,1720091506
27,constantia,44.1833,28.65,28.38,43,69,2.28,RO,1720091450
28,invercargill,-46.4,168.35,5.01,94,100,3.13,NZ,1720091301
29,tura,25.5198,90.2201,25.97,90,100,3.16,IN,1720091511
30,blackmans bay,-43.0167,147.3167,3.62,88,5,0.45,AU,1720091512
31,swakopmund,-22.6833,14.5333,16.79,60,0,3.31,NA,1720091515
32,banda aceh,5.5577,95.3222,28.56,75,100,3.72,ID,1720091516
33,salamanca,40.8333,-6.0,29.44,28,19,3.11,ES,1720091518
34,cidreira,-30.1811,-50.2056,12.35,94,100,2.36,BR,1720091519
35,grytviken,-54.2811,-36.5092,-5.09,59,5,0.81,GS,1720091521
36,bonanza,14.0289,-84.591,21.48,99,94,1.07,NI,1720091523
37,georgetown,5.4112,100.3354,28.96,70,20,1.54,MY,1720091521
38,vorgashor,67.5833,63.95,23.15,68,86,8.04,RU,1720091526
39,iskateley,67.6803,53.1512,14.75,87,66,10.56,RU,1720091161
40,longyearbyen,78.2186,15.6401,9.91,53,40,6.17,SJ,1720091529
41,klyuchi,52.2667,79.1667,25.22,46,99,3.35,RU,1720091530
42,kuqa,41.7278,82.9364,32.81,15,99,3.05,CN,1720091532
43,panzos,15.4,-89.6667,20.8,98,29,1.27,GT,1720091406
44,chuhar jamali,24.3895,67.9923,35.2,52,84,7.5,PK,1720091271
45,sitka,57.0531,-135.33,12.94,76,100,4.12,US,1720091536
46,nosy varika,-20.5833,48.5333,23.83,67,23,4.08,MG,1720091538
47,shalqar,47.8333,59.6,30.86,26,0,6.3,KZ,1720091539
48,saipan,15.1355,145.701,29.39,74,40,4.63,MP,1720091542
49,jerantut,3.936,102.3626,27.62,82,86,0.26,MY,1720091387
50,sherpur,25.0188,90.0175,28.08,88,99,5.34,BD,1720091301
51,hai duong,20.9333,106.3167,30.0,75,96,5.32,VN,1720091515
52,ushuaia,-54.8,-68.3,1.81,87,100,2.06,AR,1720091548
53,lompoc,34.6391,-120.4579,11.23,100,100,2.57,US,1720091550
54,olonkinbyen,70.9221,-8.7187,3.63,95,97,7.04,SJ,1720091551
55,fort bragg,35.139,-79.006,24.55,91,100,0.89,US,1720091553
56,tazovsky,67.4667,78.7,17.17,72,98,0.43,RU,1720091554
57,sarpol-e zahab,34.4611,45.8626,39.38,10,0,4.92,IR,1720091401
58,iqaluit,63.7506,-68.5145,3.72,93,100,2.68,CA,1720091009
59,jabor,5.921,169.6434,28.41,70,100,5.7,MH,1720091559
60,moranbah,-22.0016,148.0466,16.14,79,97,8.96,AU,1720090909
61,fairhope,30.523,-87.9033,26.68,95,0,0.45,US,1720091333
62,ban lam luk ka,13.9774,100.7778,28.99,84,20,1.54,TH,1720091565
63,barcelos,41.5388,-8.6151,32.18,36,9,1.13,PT,1720091566
64,mount gambier,-37.8333,140.7667,7.52,94,1,2.77,AU,1720091466
65,nova vicosa,-17.8919,-39.3719,23.23,69,0,2.08,BR,1720091352
66,montlucon,46.3333,2.6,22.06,79,90,1.79,FR,1720091570
67,eldorado at santa fe,35.5264,-105.9347,17.2,45,0,2.08,US,1720091572
68,puerto natales,-51.7236,-72.4875,1.81,74,88,4.67,CL,1720091573
69,praia da vitoria,38.7333,-27.0667,22.64,69,6,2.69,PT,1720091575
70,prado,-17.3411,-39.2208,23.43,68,2,1.02,BR,1720091330
71,vila velha,-20.3297,-40.2925,20.97,83,20,1.03,BR,1720091578
72,badger,64.8,-147.5333,14.14,81,100,4.77,US,1720091580
73,delmar,42.622,-73.8326,22.12,71,40,4.12,US,1720091581
74,albany,42.6001,-73.9662,21.4,72,88,1.46,US,1720091583
75,itoman,26.1247,127.6694,30.22,77,40,3.6,JP,1720091509
76,stanley,54.868,-1.6985,15.66,59,40,12.35,GB,1720091586
77,avarua,-21.2078,-159.775,24.03,83,75,6.69,CK,1720091587
78,kangding,30.0513,101.9603,18.32,97,100,1.71,CN,1720091589
79,kamien pomorski,53.9685,14.7726,18.2,61,81,8.03,PL,1720091593
80,oranjemund,-28.55,16.4333,17.48,57,5,5.07,NA,1720091595
81,kavieng,-2.5744,150.7967,27.84,79,100,4.79,PG,1720091596
82,muktsar,30.4833,74.5167,40.65,35,64,3.02,IN,1720091320
83,zaozersk,69.4005,32.4476,9.48,76,100,2.27,RU,1720091606
84,felege neway,6.3,36.8833,27.14,59,64,1.09,ET,1720091608
85,natchitoches,31.7668,-93.1335,25.47,100,0,0.0,US,1720091610
86,shumikha,55.2261,63.2961,28.14,62,6,4.25,RU,1720091611
87,ribeira grande,38.5167,-28.7,23.22,60,40,4.02,PT,1720091461
88,pesqueira,-8.3578,-36.6964,21.21,67,72,6.3,BR,1720091614
89,igunga,-4.2833,33.8833,30.62,30,90,1.3,TZ,1720091616
90,tralee,52.2704,-9.7026,14.14,82,100,6.69,IE,1720091617
91,wattegama,6.7989,81.4808,32.14,52,87,4.92,LK,1720091352
92,bredasdorp,-34.5322,20.0403,16.13,55,4,4.36,ZA,1720091340
93,lazaro cardenas,17.9583,-102.2,24.41,87,26,2.18,MX,1720091622
94,visakhapatnam,17.69,83.2093,32.94,70,75,5.66,IN,1720091485
95,karratha,-20.7377,116.8463,19.8,24,0,5.81,AU,1720091625
96,fortuna,40.5982,-124.1573,10.51,100,0,0.0,US,1720091626
97,pisco,-13.7,-76.2167,15.03,100,100,1.54,PE,1720091628
98,kununurra,-15.7667,128.7333,19.99,40,53,2.06,AU,1720091629
99,porto franco,-6.3383,-47.3992,25.45,46,3,1.97,BR,1720091631
100,punta arenas,-53.15,-70.9167,4.06,70,100,5.66,CL,1720091527
101,college,64.8569,-147.8028,14.18,80,99,1.79,US,1720091633
102,mokhsogollokh,61.4681,128.9203,16.63,47,61,3.13,RU,1720091635
103,kavalerovo,44.2661,135.0572,22.27,78,31,3.08,RU,1720091637
104,akureyri,65.6835,-18.0878,6.96,93,100,4.12,IS,1720091522
105,chonchi,-42.6128,-73.8092,0.62,90,34,1.66,CL,1720091640
106,lihue,21.9789,-159.3672,23.77,86,75,8.23,US,1720091642
107,papatowai,-46.5619,169.4708,6.6,89,100,4.14,NZ,1720091643
108,ust-nera,64.5667,143.2,14.12,91,92,1.6,RU,1720091645
109,yellowknife,62.456,-114.3525,16.34,90,100,3.6,CA,1720091647
110,port elizabeth,-33.918,25.5701,19.5,66,31,3.58,ZA,1720091054
111,alice springs,-23.7,133.8833,4.75,75,4,3.09,AU,1720091550
112,kodiak,57.79,-152.4072,5.73,93,0,3.09,US,1720091651
113,enewetak,11.3474,162.3373,28.28,79,86,6.71,MH,1720091645
114,las khorey,11.1595,48.1967,36.56,44,36,1.64,SO,1720091655
115,atafu village,-8.5421,-172.5159,28.54,78,48,10.21,TK,1720091657
116,haiku-pauwela,20.9219,-156.3051,23.47,80,20,7.15,US,1720091658
117,san jose de jachal,-30.2406,-68.7469,2.25,59,8,0.6,AR,1720091400
118,tabou,4.423,-7.3528,26.35,69,71,3.43,CI,1720091661
119,choibalsan,48.0667,114.5,23.89,55,100,2.07,MN,1720091663
120,opuwo,-18.0607,13.84,27.89,10,3,3.6,NA,1720091665
121,inongo,-1.95,18.2667,27.13,54,88,2.53,CD,1720091479
122,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,100,100,2.0,RU,1720091669
123,chitipa,-9.7024,33.2697,26.95,33,19,3.07,MW,1720091670
124,barra de santo antonio,-9.4047,-35.5072,25.6,75,34,3.17,BR,1720091672
125,port saint john's,-31.6229,29.5448,21.22,33,4,7.63,ZA,1720091675
126,uturoa,-16.7333,-151.4333,26.25,77,7,9.82,PF,1720091133
127,kapa'a,22.0752,-159.319,24.18,86,75,8.23,US,1720091676
128,ilulissat,69.2167,-51.1,10.01,46,20,6.17,GL,1720091679
129,srednyaya yelyuzan',53.0241,45.9529,32.77,35,86,4.08,RU,1720091681
130,newman,37.3138,-121.0208,25.01,32,0,1.56,US,1720091682
131,dwarka,22.2394,68.9678,30.46,75,100,8.22,IN,1720091019
132,naze,28.3667,129.4833,26.62,84,35,2.25,JP,1720091685
133,hermanus,-34.4187,19.2345,17.67,64,3,7.67,ZA,1720091687
134,isafjordur,66.0755,-23.124,7.02,76,100,6.17,IS,1720091688
135,mirnyy,62.5353,113.9611,19.6,52,88,1.55,RU,1720091690
136,luganville,-15.5333,167.1667,24.01,77,6,3.31,VU,1720091691
137,lospalos,-8.5186,127.0025,20.66,78,27,4.29,TL,1720091693
138,sirte,31.2089,16.5887,27.03,59,0,6.6,LY,1720091694
139,cururupu,-1.8283,-44.8683,25.84,88,98,1.43,BR,1720091696
140,talnakh,69.4865,88.3972,15.4,59,100,3.2,RU,1720091574
141,livno,43.8269,17.0078,22.64,53,24,2.88,BA,1720091698
142,lamu,-2.2717,40.902,27.15,66,70,5.85,KE,1720091700
143,lesnoy,57.6198,63.0784,30.32,54,22,3.23,RU,1720091672
144,hadibu,12.65,54.0333,29.51,61,100,11.67,YE,1720091643
145,simpang,-1.2667,104.0833,27.52,81,46,1.81,ID,1720091122
146,ippy,6.2679,21.2247,28.45,60,100,2.25,CF,1720091709
147,artigas,-30.4,-56.4667,10.01,91,100,4.43,UY,1720091712
148,margaret river,-33.95,115.0667,12.52,74,29,3.84,AU,1720091715
149,eastham,41.8301,-69.9739,21.66,93,96,4.52,US,1720091718
150,howard springs,-12.497,131.047,23.95,33,1,1.05,AU,1720091725
151,dryden,49.7833,-92.7503,14.16,100,100,1.54,CA,1720091649
152,ancud,-41.8697,-73.8203,3.43,71,55,2.16,CL,1720091525
153,prince rupert,54.3161,-130.3201,11.83,95,100,3.09,CA,1720091729
154,at taj,24.2049,23.2857,40.35,12,23,3.64,LY,1720091447
155,coahuayana de hidalgo,18.7,-103.6583,23.38,88,100,1.85,MX,1720091732
156,nemuro,43.3236,145.575,13.66,99,61,2.65,JP,1720091449
157,bemidji,47.4736,-94.8803,13.09,100,0,0.0,US,1720091735
158,ugoofaaru,5.6667,73.0,29.55,71,94,2.91,MV,1720091737
159,fortaleza,-3.7227,-38.5247,26.23,73,75,4.63,BR,1720091738
160,weno,7.4515,151.8468,25.97,94,100,1.54,FM,1720091740
161,la gi,10.6667,107.7833,27.72,80,97,3.59,VN,1720091741
162,rokytne,51.2796,27.214,19.28,81,100,2.72,UA,1720091743
163,sisimiut,66.9395,-53.6735,8.25,59,1,2.53,GL,1720091744
164,paciran,-6.8767,112.3761,26.56,84,100,4.94,ID,1720091745
